variant,scenario,left_center_force,left_toe_force,left_heel_force,left_inner_force,left_outer_force,left_unknown_force,right_center_force,right_toe_force,right_heel_force,right_inner_force,right_outer_force,right_unknown_force,left_contact_count,right_contact_count,unknown_contact_count
current_box_baseline,neutral,27.204897081740295,0.0,0.0,0.0,0.0,0.0,9.64182759628563,0.0,0.0,0.0,0.0,0.0,4,2,0
current_box_baseline,forward_pitch,13.47732540799005,0.0,0.0,0.0,0.0,0.0,13.7260624941345,0.0,0.0,0.0,0.0,0.0,2,2,0
current_box_baseline,backward_pitch,28.40677299390824,0.0,0.0,0.0,0.0,0.0,27.168519427375386,0.0,0.0,0.0,0.0,0.0,2,2,0
current_box_baseline,left_support_roll,0.0,0.0,0.0,0.0,0.0,0.0,88.94783718979315,0.0,0.0,0.0,0.0,0.0,0,4,0
current_box_baseline,right_support_roll,88.92028399959621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0
simple_toe_center_heel,neutral,9.049447972870059,8.351367875236859,9.719430287037422,0.0,0.0,0.0,9.170373263177222,8.121203345748947,8.958470772351577,0.0,0.0,0.0,12,12,0
simple_toe_center_heel,forward_pitch,0.0,10.775095133522484,0.0,0.0,0.0,0.0,0.0,11.165571356873974,0.0,0.0,0.0,0.0,2,2,0
simple_toe_center_heel,backward_pitch,1.33284991394518,0.0,36.54570643794278,0.0,0.0,0.0,0.45620813607560334,0.0,35.127549688390125,0.0,0.0,0.0,10,8,0
simple_toe_center_heel,left_support_roll,0.0,0.0,0.0,0.0,0.0,0.0,43.449600454171204,12.156051896092677,32.05582712605883,0.0,0.0,0.0,0,12,0
simple_toe_center_heel,right_support_roll,44.07738638317728,11.924273155433923,31.752698608516408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0,0
duck_like_multi_patch,neutral,5.619967634272175,4.983173833607244,6.467474614624736,3.1244996749408824,6.873126300675292,0.0,5.426892442746755,4.92523533122898,5.696202656381265,4.878663640863724,5.22697880946831,0.0,20,20,0
duck_like_multi_patch,forward_pitch,0.0,10.652904482052374,0.0,0.0,0.0,0.0,0.0,10.98947167962819,0.0,0.0,0.0,0.0,2,2,0
duck_like_multi_patch,backward_pitch,0.7708459129183765,0.0,36.88345341284423,0.0,0.0,0.0,0.0,0.0,35.34916768948442,0.0,0.0,0.0,18,12,0
duck_like_multi_patch,left_support_roll,0.0,0.0,0.0,0.0,0.0,0.0,32.42295759346781,15.60170088949695,37.572925425346504,0.0,0.0,0.0,0,20,0
duck_like_multi_patch,right_support_roll,32.89155937587926,15.538473739134236,37.2902587177429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0,0
